County,FIPS,Region
Alameda,1,Bay Area
Alpine,3,Rest of CA
Amador,5,Rest of CA
Butte,7,Rest of CA
Calaveras,9,Rest of CA
Colusa,11,Rest of CA
Contra Costa,13,Bay Area
Del Norte,15,Rest of CA
El Dorado,17,Sacramento
Fresno,19,Rest of CA
Glenn,21,Rest of CA
Humboldt,23,Rest of CA
Imperial,25,Southern California
Inyo,27,Rest of CA
Kern,29,Rest of CA
Kings,31,Rest of CA
Lake,33,Rest of CA
Lassen,35,Rest of CA
Los Angeles,37,Southern California
Madera,39,Rest of CA
Marin,41,Bay Area
Mariposa,43,Rest of CA
Mendocino,45,Rest of CA
Merced,47,Rest of CA
Modoc,49,Rest of CA
Mono,51,Rest of CA
Monterey,53,Rest of CA
Napa,55,Bay Area
Nevada,57,Rest of CA
Orange,59,Southern California
Placer,61,Sacramento
Plumas,63,Rest of CA
Riverside,65,Southern California
Sacramento,67,Sacramento
San Benito,69,Rest of CA
San Bernardino,71,Southern California
San Diego,73,San Diego
San Francisco,75,Bay Area
San Joaquin,77,Rest of CA
San Luis Obispo,79,Rest of CA
San Mateo,81,Bay Area
Santa Barbara,83,Rest of CA
Santa Clara,85,Bay Area
Santa Cruz,87,Rest of CA
Shasta,89,Rest of CA
Sierra,91,Rest of CA
Siskiyou,93,Rest of CA
Solano,95,Bay Area
Sonoma,97,Bay Area
Stanislaus,99,Rest of CA
Sutter,101,Sacramento
Tehama,103,Rest of CA
Trinity,105,Rest of CA
Tulare,107,Rest of CA
Tuolumne,109,Rest of CA
Ventura,111,Southern California
Yolo,113,Sacramento
Yuba,115,Sacramento
