county,county_geoid,commute_yr_a_int,commute_yr_a_pw1,commute_yr_a_pw2,commute_yr_a_pw3,commute_yr_b_int,commute_yr_b_pw1,commute_yr_b_pw2,commute_yr_b_pw3,commute_yr_c_int,commute_yr_c_pw1,commute_yr_c_pw2,commute_yr_c_pw3,commute_yr_d_int,commute_yr_d_pw1,commute_yr_d_pw2,commute_yr_d_pw3
Alameda,06001,24731.358224633746,-9941.339406191375,2015.6971900392823,-45.31603599118582,13045.474256351861,-4981.318800602242,1077.9670766668955,-24.793344391450653,14970.427828885096,-5373.745953715781,1254.7432205977154,-29.423211379350594,28614.23746416995,-12060.106096716348,2265.6396459589237,-49.07033870530346
Alpine,06003,8.824053285402357,-3.9026460619129457,0.6671492521579622,-0.01405956006595004,0,0,0,0,0,0,0,0,19.84881329551559,-8.698669391031713,1.517891953645362,-0.03158853162957077
Amador,06005,290.7397969558057,-134.69475099636023,21.56926705693342,-0.43165561556879883,263.47644035075706,-120.8196293754531,19.89196914499469,-0.4038394321523225,351.87282352114977,-159.66339973385607,26.623752082958422,-0.5452686031973782,642.5741116659269,-283.5444948020212,49.274564836937955,-1.0246976018819203
Butte,06007,5305.781282382292,-2440.009965179221,375.3390560343795,-7.19981724065752,1491.9777363118953,-689.3140036271576,105.9943645227644,-2.0534635398982455,1768.9535377300633,-824.0428385580179,123.26081778659301,-2.3361435223273612,3491.5971518664196,-1557.2103691164389,256.26148412261466,-5.153979930180227
Calaveras,06009,368.82945387069105,-170.10151473101348,26.44324648782885,-0.5161504772001917,93.53884507258141,-43.45010403023487,6.286258935296799,-0.1150060193955327,289.03783058039147,-132.8078276764615,21.80846369146151,-0.4441924239235193,548.4078736780394,-243.26057191832695,42.05106287086328,-0.8724218050418399
Colusa,06011,267.38056855735994,-125.76835452618168,19.609935893878838,-0.3894059873616751,178.72198287045322,-84.06566995485727,12.781320618288788,-0.24642507232768984,135.54225399293668,-63.14254937800924,10.066756615000026,-0.20150679842122105,584.7389626568801,-267.59944585889235,42.809552246707064,-0.8492129848590702
Contra Costa,06013,12364.122346704442,-4637.007477350076,1040.231979735598,-23.986626851480505,7088.628466585541,-2679.115056763404,589.3781986206174,-13.49651113119107,7300.812298804438,-2889.2859788557844,610.5467808462137,-13.922970629844711,14377.842232541701,-5996.029844737753,1143.259157628262,-24.908992335565454
Del Norte,06015,1387.8282950209975,-652.2599900998939,92.0693021098672,-1.6415554837486848,0,0,0,0,0,0,0,0,0,0,0,0
El Dorado,06017,2475.267934940545,-1056.475911484858,195.01076137323392,-4.168489915161661,1224.3147922407045,-508.51083988550886,102.39634149176642,-2.2984725915571196,1065.14093019114,-463.1473382414023,84.39925360817749,-1.797349024686221,2221.098741662608,-972.2107229247775,172.15727770585264,-3.612869081453104
Fresno,06019,19498.306358113114,-8952.930682152988,1414.0302494827047,-27.374447122259056,7439.664360667707,-3369.360495187122,570.7406386662639,-11.661841769223273,4069.652363651366,-1883.6124373755167,294.10759678525795,-5.712491507981432,12067.776523167275,-5431.424599712438,889.956449296659,-17.875582419750746
Glenn,06021,371.29821968037015,-177.5295308445751,25.25860402462315,-0.46369993445323304,211.59265164616934,-99.25287861145439,14.443490319797796,-0.26920253533625327,166.62834387293935,-77.89292851299125,11.65126951520907,-0.22076821147871828,539.3484437490409,-246.6136475562998,38.541861319518226,-0.7516896753198169
Humboldt,06023,5395.640635418867,-2505.30001134669,368.8586902770379,-6.765383700782377,94.36101551021267,-43.4752697492508,6.092862313976746,-0.10676321454182897,201.5269809180417,-92.87049840220567,14.382600796479002,-0.27739559670102715,1067.5925818283538,-495.30832847147354,73.88054940754158,-1.378657727618926
Imperial,06025,2688.154948077559,-1272.6939180183815,191.8892800573065,-3.671003030783464,1159.775379793496,-550.1709291219112,81.75360607753706,-1.545006344191924,390.3736396920364,-185.2161568405739,28.515830638663292,-0.554615396013068,1520.3017173742614,-695.1331379054424,109.28995045084048,-2.137000255074513
Inyo,06027,434.00904742287133,-205.76344670523017,29.742990029692542,-0.5495934080454874,42.15023927928986,-19.994929903756464,3.4389521441621502,-0.0741310193438283,5.704728962977059,-2.799781488790673,0.38518127290785614,-0.007058652138613151,476.46590662180165,-224.14307865211038,34.20154495560576,-0.6666175259761826
Kern,06029,16002.793860302776,-7414.247821575246,1153.28375365223,-22.21962189959916,5676.876859382268,-2578.6665290373066,427.0591245539652,-8.617487676870162,2620.1518375365677,-1211.419809253961,183.74465157039455,-3.4674756521021544,11889.928796476708,-5400.931744315633,869.915595489244,-17.323504420221308
Kings,06031,2009.6439989872254,-936.7260666383299,147.78587041900101,-2.888370601672802,597.6986801464852,-277.4708098858296,44.814800847590014,-0.893010039041589,769.0328732806894,-360.24303977303975,54.57585955376417,-1.0358585900717883,2244.938623782335,-1022.7106961044633,163.22464095866843,-3.213651754589298
Lake,06033,959.413366566131,-452.960532880651,65.17110834836123,-1.1986037991709626,440.9129901837314,-208.6008230819104,31.014647973943994,-0.5823973315120905,486.15640494386685,-232.3960264939772,32.205210693288834,-0.5750624365752531,879.0598679222709,-397.36336191529875,63.614796570461415,-1.2536971445220357
Lassen,06035,385.33981376296225,-181.8573560617392,27.391882376500746,-0.519898627838495,143.66860743453438,-69.15361335899904,11.200361647342575,-0.23109598073312854,187.40056318939435,-89.70748533126014,13.839598167511216,-0.26979647788981204,360.9879077593973,-166.26731694201553,25.78572971516359,-0.49995778996538626
Los Angeles,06037,192893.78259488402,-87038.38374281382,14203.416439836,-290.44636244765974,119308.44259012191,-53072.54450568873,8924.480446416586,-185.06539519110433,72247.61804425661,-31125.67391869622,5604.428732562049,-120.20301761900078,118848.11227842455,-51162.98424994453,9244.555433676993,-197.24332452943355
Madera,06039,1798.6956078749802,-847.1221906320571,130.23185295905645,-2.5125943308630436,844.0350198807198,-395.74621639926676,62.83605698913306,-1.2491304259279752,1166.1028594585066,-529.5445902392761,87.08884859961678,-1.7413366467609535,2335.7293563320563,-1054.8853004874038,173.61895553276722,-3.4964746559695326
Marin,06041,3712.208681177516,-1230.4178997171007,307.0697959722116,-7.136055934911492,2145.031957618476,-818.2878485699841,176.35916742860792,-4.007849961290181,2136.663226703224,-866.9234736506355,176.45115954644422,-3.9667833763544285,4588.1441555982465,-1892.5952791258514,367.680471584015,-8.06971779292373
Mariposa,06043,137.65608479097693,-66.5120400444829,9.088332738800261,-0.1616046712580434,8.3117466038573,-3.999632801051779,0.5326327767187851,-0.009201406270304418,170.37437788092865,-82.31848963455049,12.163474522686714,-0.23620674853987944,380.40522720149136,-174.7154840546968,27.80524429215392,-0.5510050614357082
Mendocino,06045,1904.7171908401274,-891.155741319809,130.1854202174115,-2.3921639992552275,695.4019800181907,-327.16524546509936,50.59555686033449,-0.9858328627559609,536.1955753004638,-249.99235850349328,37.63411042114927,-0.7125987136473556,1628.0726379721377,-736.3942581382844,117.30033430705579,-2.305131691184141
Merced,06047,4053.2845910414912,-1870.330366464282,288.51127382443696,-5.57047277594874,1558.2938715733594,-719.3109581900669,110.47581306163029,-2.1322179037146087,773.8849882305617,-357.38907335411,54.90089054580908,-1.0589780331026033,3003.6693049513938,-1342.684849883666,224.01341328511114,-4.550398081193098
Modoc,06049,295.08068231779333,-144.1808429067851,19.017948346699,-0.3207491754303933,0,0,0,0,0.5418248722112925,-0.26997531590910584,0.03928816804571921,-7.537719775115103e-4,109.71919095760101,-51.489903023372825,7.45314886246464,-0.1364980813279603
Mono,06051,380.3710275081814,-180.79220162640146,27.24100420673741,-0.5207513483700067,0,0,0,0,0,0,0,0,440.2085757130425,-194.4664560423248,33.352276758870836,-0.6928168674232247
Monterey,06053,7220.032874691288,-3262.040575311247,551.0388688541872,-11.405049845778725,2542.6666386634993,-1110.9413914374775,198.52511384838863,-4.236687874029168,3238.698865780507,-1408.2778312087717,252.94243133887872,-5.400202765085116,7076.91737022759,-3038.8329633199523,542.7297152860399,-11.465762104981616
Napa,06055,2635.3047771656493,-1065.1917294291566,217.00416591454464,-4.848889415968135,1172.8337988823755,-485.34825913956234,95.30542332618697,-2.1043543093320087,1488.4432315505455,-621.3142414770838,123.12513932020285,-2.739601367769492,3038.6627399118674,-1288.0501442531324,239.98393784724533,-5.168446628106668
Nevada,06057,1768.9012319787969,-770.2000279687923,132.8552952482246,-2.7068012774251144,1171.952845180349,-513.6999459046145,88.57016939234671,-1.8131734631715222,290.7718068191736,-127.0564338842034,22.54458429190692,-0.47404948440378275,1336.4906822899457,-586.0692595925206,102.96939713826687,-2.1496722563415744
Orange,06059,61672.364014254934,-26056.254386914457,4872.249857197758,-106.88573115687248,40623.726387426104,-16716.455110880364,3266.225855055993,-72.589648887901,28509.63040765569,-11974.371719781091,2254.242474048481,-49.1565973675864,53108.84885609122,-23201.49580861288,4080.7291890689644,-86.0337122181609
Placer,06061,6797.691593431421,-2854.104429408452,566.8243373594386,-12.552005420962189,3911.7003930129267,-1669.7585902343646,316.3881375811489,-6.824669804100926,2943.8219553068802,-1287.7649750716037,235.07436500808217,-5.014832693531025,6459.053714428392,-2809.8707580866994,499.9470773144554,-10.532505111259383
Plumas,06063,459.27945855628275,-216.93448090229097,32.98242373514709,-0.6378841686142039,91.52097803900946,-42.894834994402,6.570210118623441,-0.127082965864894,32.17025765181867,-14.689851453189203,2.3003754557329312,-0.04433077287234905,452.36457922713385,-209.30665893274568,32.61869893196273,-0.6359234932013482
Riverside,06065,28229.52602808999,-12777.96748282065,2133.647894255694,-43.53903091971939,16950.30116934636,-7667.252314571172,1296.0047940998443,-26.761032791863812,14003.579107028203,-6385.336396337853,1053.6171809075968,-21.508622996814818,28922.82777928022,-12842.869411158785,2179.968126594853,-44.99147648648276
Sacramento,06067,26299.089656358374,-11796.408621457245,2024.6819975124808,-41.550510713330354,19464.850539528517,-8553.867164838342,1566.713484575821,-33.45472453307991,9349.389579207038,-3851.327825692837,785.719898108364,-17.560272363953555,21913.309786573744,-9441.938919090868,1699.3938290214405,-36.04765391454932
San Benito,06069,984.5978804229248,-428.3929323644505,80.29259943547699,-1.7815591698531212,260.15938051220854,-113.01521386689878,20.7670655560291,-0.455901224221151,213.66125687352763,-90.89570871725186,16.45613634730508,-0.35351479202439345,711.2348610122676,-306.3258516946888,54.65957762551198,-1.1578381599172634
