county,county_geoid,zevhhs_yr_int,zevhhs_yr_pw1,zevhhs_yr_pw2,zevhhs_yr_pw3,zevhhs_yr_pw4,zevhhs_yr_pw5,zevhhs_yr_pw6,total_county_households
Alameda,06001,0.0425424580429577,0.0011323305852284948,0.004417575814843585,-1.242831498255667e-4,-2.3669503060227546e-6,1.9249498031823558e-7,-3.54939494628185e-9,511588.1326606723
Alpine,06003,0.048607596479655055,-0.012960673039578091,0.0084608409062168,-7.226863359928998e-4,3.630743586595389e-5,-8.907712713006885e-7,7.255199006689837e-9,332.7776225861782
Amador,06005,0.03880528209875572,-0.01329403979538674,0.007271416899531251,-6.217160315551053e-4,3.4928091159022024e-5,-9.534132811277045e-7,8.61712614900088e-9,14003.337853129071
Butte,06007,0.03653129410545306,-0.015440269244066182,0.007880679639867246,-8.224623642355132e-4,5.2687396373015585e-5,-1.5470114813099361e-6,1.5441769437646693e-8,81153.33717085155
Calaveras,06009,0.04006328609440897,-0.01443617768648642,0.007770120688295637,-6.981644665360519e-4,4.043787794333398e-5,-1.1397218943209286e-6,1.0984451582915424e-8,16976.18792608011
Colusa,06011,0.039722152860352175,-0.017364708333880156,0.008535069538710477,-8.457089363304987e-4,5.1391913428277e-5,-1.4706049766079609e-6,1.4467801445847867e-8,6975.013377981687
Contra Costa,06013,0.050012639790919765,-5.738379289535884e-4,0.005387365369178487,-1.505983677850729e-4,-8.589592494747074e-6,5.900464103746089e-7,-1.0140755389156403e-8,368082.24095820787
Del Norte,06015,0.0322159443371626,-0.018104488517738066,0.00823936098186233,-9.701897675396397e-4,6.637270811475032e-5,-1.998315788432511e-6,2.0399770106404448e-8,9340.105030937384
El Dorado,06017,0.04507187634696423,-0.003747157301841026,0.005323999966541952,-1.6642433103715104e-4,-5.103383511158442e-6,4.459943664938022e-7,-8.440356961493797e-9,67886.52845598856
Fresno,06019,0.035427006818423555,-0.013627742849933669,0.0070186923315922545,-6.380164016348963e-4,3.664984706892494e-5,-9.527487409166727e-7,7.549105197292602e-9,287346.3137947359
Glenn,06021,0.03623758487447283,-0.020704203203834294,0.009307561639395551,-0.001081595824146222,7.266017791508211e-5,-2.20165601129051e-6,2.313498119124447e-8,9953.212265619604
Humboldt,06023,0.035066683976169404,-0.018106689822347245,0.008395477580280771,-9.283334112597082e-4,6.0357055439488576e-5,-1.754886407279821e-6,1.720834717404733e-8,51885.40158553661
Imperial,06025,0.03548991694672061,-0.01817048241586554,0.00844731087600407,-9.202639326571655e-4,6.072004137449691e-5,-1.8294447151425814e-6,1.8979096483147234e-8,42371.831577443954
Inyo,06027,0.03202201017196691,-0.014783151830122642,0.007181070130025256,-7.533640193027191e-4,5.002709199536424e-5,-1.4971861893986948e-6,1.5014548629679344e-8,7706.986072595877
Kern,06029,0.03603573966191836,-0.015808130172326868,0.007773573427618398,-7.754485111824675e-4,4.789456573239118e-5,-1.3568374632346492e-6,1.280806537758003e-8,257045.7664123244
Kings,06031,0.035499561798358045,-0.015235162969825598,0.007429929359151279,-7.096957586619094e-4,4.3170238750908334e-5,-1.2111854052503872e-6,1.1161194315538181e-8,41856.755930765175
Lake,06033,0.03398571102396205,-0.018605516516717147,0.008527188225848546,-9.806897283041092e-4,6.67771940737139e-5,-2.042349503211244e-6,2.1507302542990086e-8,24813.633615297993
Lassen,06035,0.03376485903750036,-0.01380831392293628,0.006950652665464402,-6.638188650867906e-4,4.263321804280246e-5,-1.2817326408802144e-6,1.2997443037535922e-8,8977.912117741042
Los Angeles,06037,0.03525842231026967,-0.007616880039203484,0.0059165796812304695,-5.137320753233961e-4,3.218185170616542e-5,-9.821984967646987e-7,1.0141224804303953e-8,3030910.7445306196
Madera,06039,0.03876288345340967,-0.016945767314968583,0.008227720581087658,-7.873188072455991e-4,4.6534045672979943e-5,-1.2894158265492593e-6,1.2001268955855023e-8,43795.40363214174
Marin,06041,0.05268968918231084,-9.837207695651481e-4,0.006322385812024216,-3.2205212915514624e-4,3.798004637031612e-6,1.840650238564341e-7,-5.1151853195383114e-9,97785.78946192004
Mariposa,06043,0.0358463635434376,-0.02052564552492898,0.009220193712610538,-0.001064398007531803,7.212616990808496e-5,-2.2199793027564013e-6,2.3831520849261382e-8,7506.026214802753
Mendocino,06045,0.03532454344750762,-0.017525655008817073,0.00829700194801832,-9.059464026836223e-4,5.9795750573236965e-5,-1.7951240674511038e-6,1.8485654171013126e-8,33014.95398783566
Merced,06047,0.039439140355567004,-0.018440170948602765,0.009016060906610389,-9.758212411590422e-4,6.263791032462089e-5,-1.8580206627730516e-6,1.917093995475332e-8,76309.78387451997
Modoc,06049,0.030924335966671497,-0.02197655346955096,0.009093961920270332,-0.0011331417829904791,7.99273698713279e-5,-2.4698532409540294e-6,2.6213438772019182e-8,3613.5920564811677
Mono,06051,0.029700216723824814,-0.009976240463068423,0.005604541188835108,-4.942975801049899e-4,3.2002718717050145e-5,-9.534574284590516e-7,9.082903030660718e-9,4643.00543827742
Monterey,06053,0.0391167906168134,-0.008400620132682612,0.006177654306068051,-4.4915140861960225e-4,2.260130509126052e-5,-5.777320012891933e-7,4.569708857755376e-9,122181.95566915305
Napa,06055,0.0450520563486255,-5.643168725701675e-4,0.004566984721193278,-5.929721772246663e-5,-1.3113861362384949e-5,7.225467930096267e-7,-1.1935786796193548e-8,46009.06059196257
Nevada,06057,0.040903456583741886,-0.010038760479713315,0.006612931556046,-4.790859911905482e-4,2.1748677742642487e-5,-4.577280396041949e-7,2.0937971291771424e-9,39693.93176447592
Orange,06059,0.04222272155402245,-9.600619220594652e-4,0.004763589098860406,-1.8412313640339998e-4,1.8038561003200927e-6,8.416072426694164e-8,-2.7316176031448743e-9,985626.1907652288
Placer,06061,0.04174359272572973,6.290984391218036e-4,0.0035739752944625894,1.2710693880427706e-4,-2.6964544817262354e-5,1.1781819877311946e-6,-1.7493604693381254e-8,136909.0404636573
Plumas,06063,0.03358069956454053,-0.012614285921154184,0.00662479864406789,-6.099189329363494e-4,3.806256499963966e-5,-1.1083911288458097e-6,1.0636123496404846e-8,8203.317213280967
Riverside,06065,0.038641640525091205,-0.009333113447208496,0.006156155911902243,-4.2681893033382515e-4,1.965630859652892e-5,-4.32677783000799e-7,2.199483215881406e-9,702619.0785103579
Sacramento,06067,0.03379479451628108,-0.0054302591195069284,0.004483438856731975,-1.8270390422052624e-4,2.915029027719584e-6,1.1139714959339449e-7,-4.508204967042718e-9,510479.1506093729
San Benito,06069,0.049111672658868816,-0.004405532162961017,0.005806827549985257,-1.9251380817141868e-4,-4.9288321912546805e-6,4.455932817518008e-7,-8.205763258234653e-9,17754.44485972815
San Bernardino,06071,0.038597886593084885,-0.011725380066380587,0.006854769272841269,-5.634318447739325e-4,3.0706289200680446e-5,-8.103350408401517e-7,6.822420385441396e-9,615261.8056350295
San Diego,06073,0.03734400678130542,-0.0037130473037488045,0.0048721612027154354,-2.6244594726437115e-4,1.0493812678897052e-5,-2.305716167955268e-7,9.759090809712929e-10,1061859.650116289
San Francisco,06075,0.027402565333494996,0.0018568448364651047,0.0035980199249955624,-3.2187275353132437e-4,3.3994101099143055e-5,-1.5640354979635177e-6,2.3255009698426157e-8,236071.57470112114
