county,county_geoid,totzevs_yr_int,totzevs_yr_pw1,totzevs_yr_pw2,totzevs_yr_pw3,totzevs_yr_pw4,totzevs_yr_pw5
Alameda,06001,-630.5146687479238,29986.522487564092,-6467.1287422798705,954.1591612473834,-41.28405814370121,0.5643203759777582
Alpine,06003,-4.651248907993151,22.208440539117863,-5.103516668552852,0.6898800084475759,-0.02704293791885402,3.310448832086061e-4
Amador,06005,-107.27046405718202,619.0122074369199,-138.12883524252118,19.1684650169567,-0.6882463136013489,0.007186589116120614
Butte,06007,-522.0046103698669,3009.6535031379053,-635.0028033089613,84.26419221944116,-2.6410326565810176,0.020270053480877976
Calaveras,06009,-147.03911408739864,775.7658125120182,-172.7484423966712,23.71042624168428,-0.8444195825224992,0.008712020085538771
Colusa,06011,-80.28247697595093,315.49665927300305,-71.32037879630712,9.486151052793044,-0.32510392798455495,0.003138388931409115
Contra Costa,06013,2212.1064189417693,21853.479865492216,-4565.197847386041,704.362374655692,-31.106916630381342,0.43213617735402093
Del Norte,06015,-45.45273538865146,242.58423546325776,-46.67401148407073,5.79192694046931,-0.1121437613259613,-6.860013174851785e-4
El Dorado,06017,20.267416537541358,3742.8543545393413,-816.0000436572352,122.40704241544469,-5.131243016632461,0.06718576991392392
Fresno,06019,-404.6656219058935,9233.873665067307,-1911.5955639906424,275.14750297694286,-9.030045904690661,0.07558071898123682
Glenn,06021,-104.5144295706569,349.2706235876281,-74.71288763213208,9.301352414613934,-0.24901183560630552,0.001021804433844039
Humboldt,06023,-147.45762654677102,1445.0768154815776,-282.25609791259393,37.744408816087756,-0.9464515554709648,0.001752663279446471
Imperial,06025,-328.8340924444903,1440.2849272460141,-307.9195110730648,40.39429111934532,-1.1672806868815866,0.006766698720522007
Inyo,06027,-81.12091742067773,278.23077939056867,-61.58063685655964,7.9064882313768114,-0.239374702348799,0.0016833813476608748
Kern,06029,-996.8821069229166,8515.023474251551,-1779.1891008142238,246.85675847828648,-7.73979790541649,0.05793735214049983
Kings,06031,-139.23602987072744,1362.8159393757146,-289.4896189872981,40.91565664778426,-1.3121094403640288,0.010415649168891532
Lake,06033,-204.95077478778367,783.189569419123,-161.93330830498283,20.26975662876083,-0.5037618344602326,0.0010045457380424073
Lassen,06035,-88.50975512188538,347.6989044960016,-77.39882132619057,10.243421572264847,-0.3279718821147401,0.002685173954635104
Los Angeles,06037,-28903.575981716134,145571.34469740358,-32477.801327479065,4404.857518423689,-166.73225145925892,1.9254823044919134
Madera,06039,-284.2227907404624,1693.457547672361,-370.19618572310566,51.2312742400304,-1.7174932805516867,0.015477540753842282
Marin,06041,1236.0810143901192,5259.348190630704,-977.5968610909671,157.34298488443739,-7.050998091609245,0.09857758222828747
Mariposa,06043,-110.73915096147132,296.5469305231341,-66.0582425020142,8.105019867936898,-0.2282218969392625,0.0012552744737159157
Mendocino,06045,-191.65237022678826,1055.518673735826,-216.1095251032587,28.389499430306014,-0.7777907895851177,0.0034218334783950293
Merced,06047,-587.9946700991246,3005.24403602415,-643.1152896446165,85.14313652720095,-2.704665543107951,0.021641113232249702
Modoc,06049,-23.547896152907732,77.80159826910561,-14.690676532150537,1.6750142991906105,-0.009595124401692428,-8.765354967285443e-4
Mono,06051,-34.023493040212955,160.12405256485954,-35.07925391334211,4.7513616807538215,-0.15574583391406294,0.0013378608481772925
Monterey,06053,-799.2013819268182,6032.855570513928,-1348.3993955131918,190.23070000352425,-7.382030055169036,0.0877967345718397
Napa,06055,136.75139398196197,2587.5253211032305,-558.4333595194611,84.74194861547697,-3.6465830254488774,0.049271340861345866
Nevada,06057,8.587213424969265,1668.7575031894066,-350.438650253201,51.77747450472123,-1.9546728339249926,0.021886708961808506
Orange,06059,-5064.604429634969,59618.819444580724,-13203.2217611798,1888.9397123725153,-79.19733086132777,1.0483819240600363
Placer,06061,647.6270647831051,6916.482477807285,-1500.4951274329298,236.28871917152338,-10.225777323377246,0.13811050619970328
Plumas,06063,-58.52632017297644,302.6142203018522,-66.02772736395377,8.943368736028404,-0.29088822986315876,0.0024526301004033505
Riverside,06065,-3683.4927861107026,32514.182731377023,-7282.06396649312,1039.6464970088402,-39.801602608025,0.4617575773937306
Sacramento,06067,-158.63230079300791,19467.65574271459,-4249.543720777945,640.6111008459477,-24.772526091684398,0.2873885961082673
San Benito,06069,-172.02165328719354,1294.385302332134,-304.48782830242624,43.50719512155566,-1.847626364922716,0.02492700951900617
San Bernardino,06071,-5353.832389830893,29221.429366463584,-6658.183842364461,921.1710670802195,-34.32464733028762,0.3843447693776573
San Diego,06073,-6560.332308783276,54841.887287092024,-12244.321617986727,1737.6204518449097,-69.95906508326249,0.8775947496299854
San Francisco,06075,-4251.815256010815,13390.334465419766,-3120.3947386587506,418.83377845590496,-17.56763117408513,0.23566235850174733
San Joaquin,06077,-865.8005625640756,9834.779636546158,-2182.0449574856843,314.57795308946856,-12.012347433585251,0.13836042125467835
San Luis Obispo,06079,-361.4739334644351,4984.113054887418,-1115.976888560929,162.37889037418233,-6.487693625603925,0.08002044297139169
