GEOID,N,Y,total_hh,home_charge_perc
06001400100,229,1064,1293,0.822892498066512
06001400200,289,558,847,0.6587957497048406
06001400300,1121,1320,2441,0.540761982793937
06001400400,906,896,1802,0.4972253052164262
06001400500,807,799,1606,0.4975093399750934
06001400600,301,372,673,0.5527488855869243
06001400700,999,952,1951,0.4879548949256791
06001400800,880,772,1652,0.46731234866828086
06001400900,511,567,1078,0.525974025974026
06001401000,1260,1210,2470,0.4898785425101215
06001401100,1297,774,2071,0.3737324963785611
06001401200,569,661,1230,0.5373983739837398
06001401300,1247,580,1827,0.31746031746031744
06001401400,877,721,1598,0.45118898623279097
06001401500,573,569,1142,0.4982486865148862
06001401600,495,401,896,0.44754464285714285
06001401700,741,554,1295,0.4277992277992278
06001401800,385,292,677,0.43131462333825704
06001402200,462,409,871,0.4695752009184845
06001402400,698,523,1221,0.4283374283374283
06001402500,498,236,734,0.3215258855585831
06001402600,459,172,631,0.27258320126782887
06001402700,384,309,693,0.4458874458874459
06001402800,1784,605,2389,0.2532440351611553
06001402900,720,229,949,0.24130663856691253
06001403000,1065,404,1469,0.27501701837985026
06001403100,659,239,898,0.2661469933184855
06001403300,1493,650,2143,0.30331311245916937
06001403400,2026,812,2838,0.2861169837914024
06001403501,1810,845,2655,0.3182674199623352
06001403502,774,384,1158,0.3316062176165803
06001403600,1975,668,2643,0.2527430949678396
06001403701,1286,452,1738,0.2600690448791715
06001403702,805,297,1102,0.2695099818511797
06001403800,1016,798,1814,0.43991179713340683
06001403900,1292,767,2059,0.37251092763477417
06001404000,1065,573,1638,0.3498168498168498
06001404101,884,776,1660,0.4674698795180723
06001404102,1089,568,1657,0.3427881713940857
06001404200,283,1003,1286,0.7799377916018663
06001404300,281,1003,1284,0.7811526479750779
06001404400,535,1780,2315,0.7688984881209503
06001404501,95,564,659,0.8558421851289834
06001404502,464,2019,2483,0.8131292790978655
06001404600,245,1538,1783,0.8625911385305665
06001404700,131,674,805,0.8372670807453416
06001404800,481,678,1159,0.5849870578084556
06001404900,655,1205,1860,0.6478494623655914
06001405000,484,962,1446,0.665283540802213
06001405100,227,1381,1608,0.8588308457711443
06001405200,1382,1032,2414,0.4275062137531069
06001405301,1105,467,1572,0.2970737913486005
06001405302,982,395,1377,0.28685548293391433
06001405401,1126,531,1657,0.3204586602293301
06001405402,761,419,1180,0.3550847457627119
06001405500,927,645,1572,0.41030534351145037
06001405600,767,619,1386,0.4466089466089466
06001405700,735,633,1368,0.46271929824561403
06001405800,602,736,1338,0.55007473841554555
06001405901,518,582,1100,0.5290909090909091
06001405902,423,502,925,0.5427027027027027
