tract,total_tract_vehicles,total_tract_households
06001400100,2467.5755183153383,1186.6020146681687
06001400200,1215.186736398884,748.9224280521233
06001400300,3056.8204353919823,1957.3091473246707
06001400400,2400.433617932619,1549.1140756162704
06001400500,2459.518186143499,1370.7018842157197
06001400600,1066.031872244155,606.0342164615361
06001400700,2718.3708595643925,1639.3977838146125
06001400800,2468.9643325645916,1411.3805355422564
06001400900,1445.2447847599958,936.5240311803341
06001401000,3204.4362425210074,1851.1216322825392
06001401100,1810.9431071836523,1348.7645922661586
06001401200,1833.53227551823,1112.098383730653
06001401300,1558.7677637143447,1113.4793777869222
06001401400,1900.6493252673408,1174.1517950772834
06001401500,1470.922590720951,776.4498635818904
06001401600,1094.5962232876377,731.2339863637419
06001401700,1778.8106451395395,1126.7640048145058
06001401800,845.7736074197719,477.43308251944643
06001402200,1129.207505675768,668.8808434051742
06001402400,1376.288346525511,813.3463871277758
06001402500,631.0327579263818,418.03150909685445
06001402600,460.6620496926775,383.8061824693325
06001402700,912.519556243703,505.8159768944615
06001402800,1657.574291463847,1210.6574264354915
06001402900,432.64033812596983,366.50222950680944
06001403000,956.7229414083243,789.4048867302048
06001403100,719.4586308675267,598.9917253944002
06001403300,1748.3048684958153,1347.8528558869511
06001403400,2228.2863193358667,1848.8836874130975
06001403501,2258.7758409290614,1675.9852777050114
06001403502,1204.8681967895905,925.7670923822265
06001403600,3152.425847059494,2299.2161246772666
06001403701,1585.9235514562563,1316.7782660545477
06001403702,1105.6086837404841,880.9257053168006
06001403800,2424.264339226239,1614.6976872186594
06001403900,2895.382469853767,1959.3633825056786
06001404000,1912.2615428218262,1451.8208158758962
06001404101,1882.8471286696197,1300.762505847858
06001404102,1380.4613396269144,1056.7424848262872
06001404200,2523.0521542978368,1186.4510977999137
06001404300,2362.5398021275328,1176.2415961032063
06001404400,4247.233398231774,2105.651187430985
06001404501,1368.8795341883456,611.6387623075452
06001404502,4840.368074514559,2302.435886075688
06001404600,3560.990045627635,1683.0389707722168
06001404700,1642.5515511999647,761.525166168331
06001404800,1635.2009363540944,1011.230244606442
06001404900,2699.147364633326,1572.7685141860884
06001405000,2262.8136260982533,1297.3652259560624
06001405100,3131.985431738203,1500.2771495285144
06001405200,3499.392970402722,2174.472811046329
06001405301,1936.5466532445328,1335.794009388858
06001405302,1208.1589703068923,947.7865126341168
06001405401,2030.763430147222,1282.2369581519351
06001405402,1452.7216773666282,887.2994607026747
06001405500,2101.348961802535,1295.9320530588461
06001405600,1953.2211291656324,1179.0139532662886
06001405700,2123.9553170236804,1199.9961074139835
06001405800,2215.3820245758275,1171.986475644148
06001405901,1840.277025565374,902.9239262348799
06001405902,1472.3684793353218,761.2760281225195
06001406000,1771.8363680223122,1191.2526976139798
06001406100,2574.681049774064,1309.7279556275007
06001406201,2072.5691615306187,1152.5200881509825
06001406202,1987.82130133223,1113.3602039534976
06001406300,2394.008621449181,1115.124156304863
06001406400,1138.6129959795037,578.3338752211649
06001406500,2916.2868186195,1647.5608753353938
06001406601,2709.735653705781,1610.9246654494864
06001406602,1336.0144530858881,789.2027561090622
06001406700,3597.9601261030466,1893.4110899929267
06001406800,2477.9094713206628,1257.609339545012
06001406900,2676.267976458441,1424.0217418992413
06001407000,2913.7883288509033,1705.0821972552983
06001407101,1683.211304431864,950.547805815767
06001407102,2317.801838656257,1184.021760749693
